,Accuracy,Precision,Recall,F1
"model_p=l1_c=1_ngram=(1, 1)",0.555028962611901,0.5496387871632119,0.555028962611901,0.550847473532344
"model_p=l2_c=1_ngram=(1, 1)",0.5250131648235914,0.5247300499285426,0.5250131648235914,0.5243072137167566
"model_p=l1_c=2_ngram=(1, 1)",0.5263296471827278,0.5219090085411929,0.5263296471827278,0.523032469663974
"model_p=l2_c=2_ngram=(1, 1)",0.516061084781464,0.515687018738499,0.516061084781464,0.5154400736617207
"model_p=l1_c=1_ngram=(1, 2)",0.559768299104792,0.555322834278525,0.559768299104792,0.5527095082681625
"model_p=l2_c=1_ngram=(1, 2)",0.5273828330700369,0.5267495412126261,0.5273828330700369,0.5253901444140332
"model_p=l1_c=2_ngram=(1, 2)",0.5447604002106372,0.5425856332875268,0.5447604002106372,0.5396953240481491
"model_p=l2_c=2_ngram=(1, 2)",0.5239599789362822,0.5245809581567332,0.5239599789362822,0.5223406063712852
