,Accuracy,Precision,Recall,F1
"model_p=l1_c=1_ngram=(1, 1)",0.5771458662453923,0.5760550695312346,0.5771458662453923,0.5726783659420146
"model_p=l2_c=1_ngram=(1, 1)",0.5381779884149552,0.5475118298046693,0.5381779884149552,0.538654503527677
"model_p=l1_c=2_ngram=(1, 1)",0.5789889415481833,0.5756817174535577,0.5789889415481833,0.5753160036331811
"model_p=l2_c=2_ngram=(1, 1)",0.5405476566614007,0.5464424268380117,0.5405476566614007,0.5412983443468298
"model_p=l1_c=1_ngram=(1, 2)",0.5600315955766193,0.5587781194516236,0.5600315955766193,0.5512207529652194
"model_p=l2_c=1_ngram=(1, 2)",0.5057925223802001,0.5183852602130545,0.5057925223802001,0.506171541814805
"model_p=l1_c=2_ngram=(1, 2)",0.581621906266456,0.5778201049884863,0.581621906266456,0.5736634666889113
"model_p=l2_c=2_ngram=(1, 2)",0.5218536071616641,0.5278549053599396,0.5218536071616641,0.5219838953286563
