,Accuracy,Precision,Recall,F1
lstm0,0.6924697209057399,0.7069689327947039,0.6924697209057399,0.6949218844729508
lstm1,0.7003686150605581,0.7150668744208635,0.7003686150605581,0.7018978431294919
lstm2,0.6648235913638757,0.6706653842068439,0.6648235913638757,0.6639398200952363
